pH,turbidity,dissolved_oxygen,nitrate,temperature,Quality
7.5,0.09,8.85,0.54,25.6,Good
7.12,17.34,10.82,3.11,23.7,Good
7.59,26.98,4.2,0.86,20.24,Bad
8.11,18.26,8.13,11.32,17.41,Bad
7.06,2.15,5.7,0.7,22.79,Good
7.06,6.13,6.03,20.79,21.57,Bad
8.15,20.14,5.82,7.96,23.58,Good
7.66,4.34,5.27,6.11,22.54,Good
6.92,13.55,7.1,0.15,24.2,Good
7.53,16.2,5.34,9.2,17.86,Good
6.92,2.58,7.54,1.55,25.27,Good
6.92,9.52,6.9,5.73,20.79,Good
7.35,15.93,6.52,20.36,28.3,Bad
6.05,1.8,5.18,4.42,17.24,Bad
6.17,7.98,5.85,11.9,26.94,Bad
6.86,0.02,8.51,0.78,20.79,Good
6.59,23.06,8.0,4.79,17.39,Good
7.39,1.44,5.04,15.62,18.06,Bad
6.66,6.48,7.2,1.24,18.72,Good
6.35,11.05,8.5,15.87,21.7,Bad
8.08,21.53,3.66,9.25,22.09,Bad
7.06,1.49,8.09,1.63,17.71,Good
7.24,19.31,5.67,8.79,19.9,Good
6.35,10.08,8.14,10.84,28.57,Bad
6.87,2.15,5.47,8.73,26.91,Good
7.27,13.7,3.39,4.42,21.75,Bad
6.51,11.59,3.74,0.64,20.15,Bad
7.43,5.2,7.1,3.51,20.48,Good
6.84,10.56,7.52,4.55,22.45,Good
7.02,6.92,5.19,8.72,15.91,Good
6.84,10.91,8.28,6.07,18.97,Good
8.31,15.3,3.68,3.01,13.33,Bad
7.19,22.69,6.87,7.28,21.6,Good
6.57,0.1,4.58,8.66,22.59,Bad
7.69,27.06,5.7,8.36,18.07,Bad
6.47,5.62,7.09,11.48,26.3,Bad
7.33,8.79,5.28,10.0,15.1,Bad
6.02,14.71,6.23,7.76,14.14,Bad
6.4,12.25,9.01,4.58,20.9,Bad
7.32,5.02,5.85,4.97,24.19,Good
7.64,8.34,8.67,7.58,26.74,Good
7.3,6.06,4.74,6.25,18.16,Bad
7.13,5.29,8.06,6.63,24.31,Good
7.02,16.8,9.88,2.66,19.85,Good
6.31,12.86,2.06,1.49,19.31,Bad
6.77,4.46,5.41,11.32,23.53,Bad
6.92,17.2,8.15,4.76,22.61,Good
7.83,12.46,6.59,9.09,13.69,Good
7.41,16.5,7.74,5.17,25.91,Good
6.14,15.04,5.79,5.18,25.52,Bad
7.39,3.37,7.17,10.63,17.5,Bad
6.97,5.52,6.69,1.9,21.58,Good
6.79,15.98,9.34,5.58,21.98,Good
7.57,14.88,7.51,2.23,21.04,Good
7.82,9.83,7.68,2.39,17.8,Good
7.76,10.94,6.18,3.14,17.31,Good
6.7,20.22,6.02,6.33,19.9,Good
7.01,5.27,6.13,2.13,24.69,Good
7.4,14.38,7.79,12.53,22.17,Bad
7.79,8.38,6.16,0.37,18.52,Good
6.91,8.26,7.58,3.88,23.09,Good
7.09,18.79,11.15,2.36,8.61,Good
6.54,16.6,8.74,13.68,24.6,Bad
6.48,16.51,6.35,6.18,13.04,Bad
7.69,20.44,9.4,11.19,18.55,Bad
8.01,10.17,6.18,3.91,15.52,Good
7.16,15.46,2.92,6.6,14.82,Bad
7.8,7.52,4.98,10.34,24.64,Bad
7.42,12.59,3.26,5.49,18.13,Bad
6.81,8.96,6.3,11.39,21.39,Bad
7.42,10.78,7.04,1.9,19.81,Good
8.12,14.76,10.35,13.46,21.91,Bad
7.18,3.45,7.65,18.79,20.31,Bad
8.14,26.74,6.56,2.82,14.87,Bad
5.63,1.95,8.66,2.33,23.99,Bad
7.69,0.29,2.58,13.72,18.02,Bad
7.25,19.26,7.47,14.48,13.77,Bad
7.02,16.33,8.54,1.86,18.29,Good
7.26,14.99,4.04,2.48,26.0,Bad
6.01,15.03,9.29,3.31,23.4,Bad
7.07,9.9,7.68,3.07,18.61,Good
7.41,2.82,6.17,0.51,18.6,Good
8.09,10.61,8.27,1.02,18.71,Good
6.89,4.58,11.54,0.39,28.31,Good
6.71,17.8,7.36,4.79,21.53,Good
6.9,8.82,7.5,6.41,21.72,Good
7.75,3.4,6.08,14.3,24.12,Bad
7.4,7.43,5.3,0.99,20.96,Good
6.88,13.3,8.66,10.91,18.96,Bad
7.51,5.49,5.29,3.72,19.21,Good
7.26,3.42,7.14,4.7,19.71,Good
7.78,11.95,6.04,9.05,19.85,Good
6.78,11.96,7.96,1.74,22.91,Good
7.0,5.94,7.67,7.29,20.21,Good
6.96,6.23,9.08,6.0,22.93,Good
6.32,11.86,5.98,7.95,19.68,Bad
7.38,1.58,6.46,6.74,20.31,Good
7.36,1.26,5.04,19.73,12.01,Bad
7.2,4.25,6.11,1.17,23.67,Good
7.06,8.29,7.75,1.81,21.39,Good
6.35,12.49,8.51,1.26,23.99,Bad
6.95,21.8,5.16,1.67,8.41,Good
6.99,16.86,8.74,1.18,28.35,Good
6.72,8.72,9.71,12.13,19.44,Bad
7.1,9.85,7.83,13.52,24.43,Bad
7.44,1.98,10.75,1.58,15.84,Good
8.33,9.85,5.45,0.01,22.45,Good
7.3,7.69,4.51,7.83,15.79,Bad
7.35,12.58,3.44,1.69,17.5,Bad
7.16,3.38,9.99,8.8,27.66,Good
6.05,14.15,8.31,6.22,19.24,Bad
7.18,22.26,6.89,4.09,20.87,Good
7.24,9.13,7.56,14.29,23.48,Bad
8.68,13.21,4.75,15.78,21.98,Bad
7.08,15.52,11.89,1.32,20.6,Good
7.38,6.79,7.26,2.67,21.46,Good
7.18,11.79,7.22,6.72,29.61,Good
6.5,10.1,8.45,7.01,19.77,Good
7.89,10.78,7.96,8.95,20.8,Good
7.65,3.82,7.45,17.06,24.2,Bad
7.67,10.2,5.42,3.94,24.42,Good
6.65,13.98,7.94,0.21,24.75,Good
8.04,21.61,10.76,3.28,22.55,Good
6.36,17.67,9.69,0.61,15.43,Bad
7.55,27.23,10.19,4.8,26.53,Bad
8.51,3.86,5.98,15.77,15.41,Bad
6.61,16.98,5.02,1.89,21.21,Good
6.86,11.47,6.75,6.34,16.98,Good
7.26,27.52,7.11,4.9,19.74,Bad
6.9,3.53,9.19,12.13,21.32,Bad
6.27,3.28,3.62,20.16,21.29,Bad
7.24,5.2,10.06,1.81,21.69,Good
6.56,6.99,6.68,2.06,26.45,Good
7.48,5.79,6.15,11.26,21.81,Bad
6.65,3.93,4.98,9.09,19.02,Bad
8.13,11.2,3.69,16.08,23.86,Bad
6.73,12.73,8.65,8.5,24.76,Good
7.01,25.01,7.15,2.84,15.09,Bad
7.69,17.6,4.42,8.54,22.39,Bad
6.46,5.38,4.41,11.65,22.8,Bad
7.34,2.81,6.33,9.92,18.81,Good
7.98,13.94,10.34,8.04,25.5,Good
6.24,0.56,6.48,11.4,19.4,Bad
7.31,24.65,3.99,12.02,20.5,Bad
7.36,19.44,6.51,13.29,19.31,Bad
7.67,6.25,6.45,8.89,20.06,Good
6.46,3.71,1.61,4.0,15.61,Bad
6.41,20.83,6.89,5.88,14.24,Bad
7.51,9.08,6.54,12.24,26.38,Bad
7.38,19.9,8.39,0.1,16.61,Good
7.35,2.76,10.7,7.21,16.03,Good
7.41,5.2,9.25,2.64,11.39,Good
6.79,10.04,6.46,5.17,17.44,Good
7.34,10.38,4.79,12.67,14.71,Bad
7.38,6.4,12.15,6.15,26.57,Good
6.77,14.98,7.12,5.28,24.04,Good
8.32,1.46,7.03,3.16,17.25,Good
7.48,8.86,6.95,9.48,29.01,Good
6.49,10.96,7.4,8.87,23.93,Bad
7.59,14.12,6.71,17.98,18.7,Bad
6.62,15.69,5.85,3.15,10.0,Good
7.67,1.0,5.91,6.31,29.16,Good
7.9,2.27,6.93,6.5,14.44,Good
6.71,20.22,5.91,14.46,13.42,Bad
7.78,12.66,5.57,4.43,24.09,Good
7.45,4.01,7.21,6.67,29.76,Good
7.69,22.41,6.49,8.65,25.54,Good
8.34,10.93,10.01,6.12,22.26,Good
7.05,19.43,1.7,2.32,22.38,Bad
6.75,10.54,9.18,6.16,23.41,Good
6.67,26.49,9.49,11.44,23.04,Bad
6.71,24.04,2.85,1.16,21.12,Bad
7.15,8.01,6.31,5.8,20.42,Good
7.4,17.77,6.26,0.8,19.75,Good
7.37,15.16,4.18,12.17,16.98,Bad
7.7,20.95,5.44,4.14,18.88,Good
7.21,2.28,4.78,1.65,13.23,Bad
8.07,15.49,10.5,7.26,19.61,Good
7.04,18.47,8.87,14.39,16.05,Bad
8.83,4.07,9.54,4.61,15.59,Bad
7.58,0.53,8.44,1.67,20.72,Good
6.69,6.31,4.74,16.29,25.57,Bad
6.56,7.84,5.95,3.69,23.67,Good
7.49,15.74,7.98,8.19,13.72,Good
7.07,22.02,4.56,7.64,16.04,Bad
7.63,10.59,8.43,1.99,23.76,Good
7.48,23.03,6.52,1.13,16.07,Good
7.16,1.04,6.25,9.25,19.1,Good
6.69,3.63,8.42,6.46,22.2,Good
6.29,9.56,7.89,1.62,16.13,Bad
6.93,13.07,6.28,2.68,20.42,Good
7.71,9.74,9.32,10.23,14.66,Bad
7.33,6.54,4.84,8.9,17.59,Bad
6.45,9.29,8.23,4.4,21.28,Bad
7.3,0.44,8.19,16.08,13.63,Bad
7.43,15.36,6.38,1.42,21.76,Good
6.67,12.93,7.65,4.15,19.92,Good
7.29,2.48,4.5,0.85,22.21,Bad
7.23,5.89,8.85,4.73,20.9,Good
6.51,1.53,6.63,6.46,25.46,Good
7.41,9.5,5.95,3.55,20.5,Good
7.54,17.64,9.1,7.11,18.28,Good
7.85,2.11,5.59,2.51,20.49,Good
7.83,14.03,4.18,13.66,22.17,Bad
6.37,5.76,3.89,4.51,20.2,Bad
6.64,3.66,8.21,11.7,20.16,Bad
7.51,9.14,4.44,7.06,17.19,Bad
7.51,1.72,10.51,7.74,17.35,Good
7.51,5.57,2.84,8.42,14.39,Bad
9.51,0.42,10.39,7.69,27.0,Bad
7.54,25.72,7.42,8.86,15.02,Bad
7.88,10.28,6.81,12.97,17.23,Bad
7.77,4.4,5.91,6.18,17.13,Good
7.59,11.71,7.8,9.25,23.58,Good
7.01,9.1,6.92,4.46,18.82,Good
7.66,8.23,9.21,13.64,24.99,Bad
6.74,14.91,7.23,0.94,17.31,Good
7.06,16.06,7.3,15.81,21.12,Bad
6.91,5.76,6.27,4.76,16.66,Good
7.25,5.39,6.89,3.58,28.58,Good
8.59,7.8,7.62,5.77,15.25,Bad
6.08,8.42,3.58,0.91,21.24,Bad
7.61,2.12,4.3,10.04,22.54,Bad
6.23,20.93,8.49,1.08,21.66,Bad
6.92,23.16,7.34,2.32,19.26,Good
7.85,8.01,6.63,6.34,19.48,Good
7.24,14.61,7.04,2.29,20.18,Good
6.55,12.49,7.7,9.54,19.41,Good
6.77,34.63,5.92,4.5,23.86,Bad
7.61,18.96,5.44,9.56,28.84,Good
6.76,8.98,7.39,9.71,17.77,Good
7.33,2.36,5.04,7.55,14.52,Good
7.23,2.85,7.82,0.8,19.65,Good
6.81,11.63,3.59,4.71,30.32,Bad
8.49,3.95,9.06,4.98,16.79,Good
7.58,1.38,7.95,1.95,26.56,Good
5.98,4.83,7.51,14.02,26.71,Bad
7.31,1.35,8.97,10.26,17.79,Bad
6.8,23.5,10.33,3.67,22.28,Good
7.71,17.05,9.03,5.16,26.51,Good
6.72,9.94,3.32,6.25,18.48,Bad
7.13,21.84,4.44,7.25,19.19,Bad
7.5,10.62,5.75,3.52,17.67,Good
7.72,3.11,7.05,0.91,15.94,Good
6.48,22.18,8.04,1.01,17.4,Bad
7.0,14.31,5.55,3.31,15.1,Good
6.92,1.7,7.37,15.79,20.14,Bad
6.81,8.48,5.49,8.85,16.92,Good
8.26,3.0,5.78,1.57,20.94,Good
7.44,1.06,4.19,8.44,13.78,Bad
